path,bytes,sha256,classification,explicit_path_reference,reason
.github/workflows/build-writer-workspace-capsule.yml,2248,0e76d6505d46f856773bf25c634dc1e53c4042180b11c4d6be816558a4d2d431,KEEP_OR_REVIEW_AUTOMATION,false,workflow/infrastructure; inspect before retirement
.github/workflows/zero-loss-repo-census.yml,10986,530cae95a3d40efab0b646a0154eb6f27e853266daee6520c682687251b88b11,KEEP_OR_REVIEW_AUTOMATION,false,workflow/infrastructure; inspect before retirement
.gitignore,109,ba5efd1eda7e9d31249a389130e8f78f7baf3f04567061b57f4094d875f5caef,KEEP_CORE_BUILD_TEST,false,core/source/build/test/tooling
BROWSER_CONFORMANCE_BOOTSTRAP.md,1916,2696ec28acdf0b37e3ca9655c74fedb9eecb352df2a08618d2ada3460fcf5faa,REVIEW_ROOT_DOCUMENT,false,root document may be current navigation or stale handoff
DELIVERY_MANIFEST.json,254324,e8ed99d850811b9686ccb27b7af1ef7b52b3e1211e51989faa8155a6d57af5bd,REVIEW_ROOT_FILE,false,root file requires content review
FINAL_FOUNDATION_GATE_HANDOFF_AR.md,1097,4780852eb7562a392ff1e4aebda6ae98de1e0e5e9f1e664d13fb285d06ec406f,REVIEW_ROOT_DOCUMENT,false,root document may be current navigation or stale handoff
FINAL_HANDOFF_AR.md,842,046bb7568566fecba09bdf5d4c98e3d585a048cdf97f8582b7e585bc0fce379e,REVIEW_ROOT_DOCUMENT,false,root document may be current navigation or stale handoff
FOUNDATION_ARCHITECTURE.md,4341,3295c12d1341ef048ac9e4081da26c240ea55c1b7dd94418848258eaf58b851d,REVIEW_ROOT_DOCUMENT,false,root document may be current navigation or stale handoff
FW_B_RESULT_SUMMARY_AR.md,2980,2a16298f3513bf1756fca7a615fe99f14a34caa4b1b4cbe4d0ab19f116877cdb,REVIEW_ROOT_DOCUMENT,false,root document may be current navigation or stale handoff
M0_A1_A5_FINDING_DISPOSITION.csv,81382,9369ddfd713c34f32914f956af839b8271422dd646d0e2baf94a34c6ac11e9c1,REVIEW_ROOT_FILE,false,root file requires content review
