source,bytes,sha256,authority_class,inspection,canonical_registry_match,preserved_content,text_lines
mission/00_START_HERE/COPY_PASTE_WORK_BOOTSTRAP_PROMPT.txt,3332,d3f9fbe8f0a1ff673341169ab0ed7f54551f4a0a3eae43adcdabc3ecbfb5e6f8,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/00_START_HERE/COPY_PASTE_WORK_BOOTSTRAP_PROMPT.txt,59
mission/00_START_HERE/MASTER_WORK_MISSION_v1.0.md,8746,c7ae915085d4f5fb2feda33ccacf15b49660f02fb5f1f317fe9f0042023756c8,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/00_START_HERE/MASTER_WORK_MISSION_v1.0.md,178
mission/00_START_HERE/MISSION_MANIFEST_v1.0.json,10850,1496d7aeb6dc4a07f6c7d5888c7b9b5f0c3a207e2d7cf3ea421fd070ad8bd15a,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/00_START_HERE/MISSION_MANIFEST_v1.0.json,286
mission/00_START_HERE/README_START_WORK_HERE.md,2056,2131f873518e40836a061dc7be9e0ec517ebad71beb3e51b0fe3feaef2f7b558,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/00_START_HERE/README_START_WORK_HERE.md,35
mission/01_AUTHORITY/AUTHORITY_CONFLICT_RESOLUTION_PROTOCOL_v1.0.md,1001,d67f516dcf0c3780d7375096e8751d623c2dea220b9e9fb8d67ed3e22172ec85,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/AUTHORITY_CONFLICT_RESOLUTION_PROTOCOL_v1.0.md,21
mission/01_AUTHORITY/CEP_ACCEPTED_LIBRARY_DONOR_TO_FOUNDATION_EXTRACTION_MAP_v1.0.csv,10530,a40e26e17e997c5026f37c69517efef19afcf514119ae03836df1eb8d3b8abbc,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_ACCEPTED_LIBRARY_DONOR_TO_FOUNDATION_EXTRACTION_MAP_v1.0.csv,35
mission/01_AUTHORITY/CEP_CANONICAL_AUTHORITY_AND_FOUNDATION_PREP_PACK_v1.0.json,39880,c75d48eebad742a3972ad477cf3e1f23140e19291874aa1d4d5ce08c21a44b84,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_CANONICAL_AUTHORITY_AND_FOUNDATION_PREP_PACK_v1.0.json,823
mission/01_AUTHORITY/CEP_CANONICAL_AUTHORITY_AND_FOUNDATION_PREP_REPORT_v1.0.md,7402,931ded2207ed41f3786c6c4db8685ae7dd89e4a75a32333fd424fb5a41509464,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_CANONICAL_AUTHORITY_AND_FOUNDATION_PREP_REPORT_v1.0.md,97
mission/01_AUTHORITY/CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv,59901,ced1495af8fab92f2e4be01e3bb265c8e78b7bcf240781adf3d59f7e62001f3b,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv,132
mission/01_AUTHORITY/CEP_CANONICAL_SOURCE_AUTHORITY_REGISTRY_v1.0.csv,95705,cc6f510047498b133c2672bf01118553216d27cb09739451cb36454e349aa644,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_CANONICAL_SOURCE_AUTHORITY_REGISTRY_v1.0.csv,165
mission/01_AUTHORITY/CEP_FOUNDATION_EXECUTABLE_STRUCTURE_CONTRACT_v1.0.md,5202,55df8863815fac7b14ff55f4269c34f9e717a4c53920e569ac27577ac1eda9ef,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_FOUNDATION_EXECUTABLE_STRUCTURE_CONTRACT_v1.0.md,66
mission/01_AUTHORITY/CEP_FOUNDATION_PREBUILD_GATES_v1.0.csv,1988,6884c7638de3a698c695d5b4661741269e1a0b02d07d9a4476b0310c1d0db5b9,MISSION_CURRENT,FULL_BYTES_AND_STRUCTURED_CONTENT,False,authority/sources/mission/01_AUTHORITY/CEP_FOUNDATION_PREBUILD_GATES_v1.0.csv,13
